afterHoursDistance,afterHoursDrivingDuration,afterHoursEnd,afterHoursStart,afterHoursStopDuration,averageSpeed,distance,drivingDuration,idlingDuration,isSeatBeltOff,maximumSpeed,nextTripStart,speedRange1,speedRange1Duration,speedRange2,speedRange2Duration,speedRange3,speedRange3Duration,start,stop,stopDuration,workDistance,workDrivingDuration,workStopDuration,id,engineHours,vehicle_id,trip_id
112.2607,3610,true,false,394,107.45612,131.09459,4391,15,false,136,2019-11-16 00:06:44.063000+00:00,15,2327,12,713,0,0,2019-11-15 22:46:58.063000+00:00,2019-11-16 00:00:10+00:00,394,18.83389,781,0,b902CA9C,null,22bf,0ab29c9c
53.44738,2773,true,true,3595,69.38555,53.44738,2773,0,false,127,2019-11-16 01:00:18.127000+00:00,5,645,0,0,0,0,2019-11-15 23:14:10.063000+00:00,2019-11-16 00:00:23.127000+00:00,3595,0,0,0,b91A61AA,null,1bdf4,a91b61aa
1.7698245,618,true,true,315,10.294049,1.7698245,618,5,false,42,2019-11-16 00:06:48.063000+00:00,0,0,0,0,0,0,2019-11-15 23:51:14.063000+00:00,2019-11-16 00:01:33+00:00,315,0,0,0,b9473C85,null,cb8a,b4c89375
1.5135734,281,true,true,5300,19.32653,1.5135734,281,2,false,55,2019-11-17 18:30:02.126000+00:00,0,0,0,0,0,0,2019-11-15 23:57:00.063000+00:00,2019-11-16 00:01:42+00:00,5300,0,0,0,b903A03B,null,4b35,bba33900
4.376471,485,true,true,1409,32.42251,4.376471,485,11,false,70,2019-11-16 00:25:13.062000+00:00,0,0,0,0,0,0,2019-11-15 23:53:38.063000+00:00,2019-11-16 00:01:44+00:00,1409,0,0,0,b902CEF9,null,b48f,90c92feb
99.907326,3737,true,false,1799,90.15359,105.80367,4224,2,false,105,2019-11-16 00:32:16.063000+00:00,0,0,0,0,0,0,2019-11-15 22:51:52.063000+00:00,2019-11-16 00:02:17+00:00,1799,5.8963485,487,0,b91C2700,null,abcb,217b0c90
9.247755,1102,true,true,16265,30.184786,9.247755,1102,8,false,55,2019-11-16 04:34:20.063000+00:00,0,0,0,0,0,0,2019-11-15 23:44:52.063000+00:00,2019-11-16 00:03:15+00:00,16265,0,0,0,b902F281,null,b3751,8f29102b
4.836725,424,true,true,308,40.975983,4.836725,424,308,false,125,2019-11-16 00:08:47+00:00,1,26,0,0,0,0,2019-11-15 23:56:34.063000+00:00,2019-11-16 00:03:39+00:00,308,0,0,0,b902CAC3,null,3bab,3b2a0cc9
32.09207,1660,true,true,3826,69.558,32.09207,1660,31,false,122,2019-11-16 01:07:36.063000+00:00,3,424,0,0,0,0,2019-11-15 23:36:09.063000+00:00,2019-11-16 00:03:50+00:00,3826,0,0,0,b91609D2,null,dbf,b9690d21
3.5066507,755,true,true,39312,16.720453,3.5066507,755,8,false,57,2019-11-16 10:59:12.062000+00:00,0,0,0,0,0,0,2019-11-15 23:51:25+00:00,2019-11-16 00:04:00+00:00,39312,0,0,0,b9030040,null,21b,00043b90
8.172805,779,true,true,10542,37.723686,8.172805,779,13,false,76,2019-11-18 21:57:11.063000+00:00,0,0,0,0,0,0,2019-11-15 23:51:18.063000+00:00,2019-11-16 00:04:18+00:00,10373,0,0,39431,b95D7A3E,null,fb8b,7e9ad3b5
38.262966,3288,true,true,889,41.893757,38.262966,3288,0,false,101,2019-11-16 00:19:51.063000+00:00,0,0,0,0,0,0,2019-11-15 23:10:13.127000+00:00,2019-11-16 00:05:01.127000+00:00,889,0,0,0,b902CDA1,null,6bac,d9ba01c2
20.075207,3916,true,false,2178,23.211567,37.602737,5832,1055,false,74,2019-11-16 00:41:34.063000+00:00,0,0,0,0,0,0,2019-11-15 22:28:04+00:00,2019-11-16 00:05:16+00:00,2178,17.52753,1916,0,b902D2F8,null,1109b,928f0db2
0.78722894,89,true,true,8222,31.492657,0.78722894,89,8222,false,72,2019-11-16 02:22:20+00:00,0,0,0,0,0,0,2019-11-16 00:03:48.010000+00:00,2019-11-16 00:05:18+00:00,8222,0,0,0,b902E56B,null,11b53,502b9e6b
0.05500472,61,true,true,74601,3.197071,0.05500472,61,26,false,3,2019-11-16 20:48:40.063000+00:00,0,0,0,0,0,0,2019-11-16 00:04:17.063000+00:00,2019-11-16 00:05:19+00:00,74601,0,0,0,b17F1F476,269353.529,b6c81,7741f1f6b
